name,n.obs,total.acc
Lochnagar,1,55.5555555555556
Lochnagar,2,88.8888888888889
Lochnagar,2,38.8888888888889
Lochnagar,3,66.6666666666667
Lochnagar,3,88.8888888888889
Lochnagar,4,100
Lochnagar,4,88.8888888888889
Lochnagar,5,88.8888888888889
Lochnagar,5,88.8888888888889
Lochnagar,6,88.8888888888889
Lochnagar,6,88.8888888888889
Lochnagar,7,100
Lochnagar,7,100
Lochnagar,8,100
Lochnagar,8,100
Lochnagar,9,100
Lochnagar,9,100
Lochnagar,10,100
Lochnagar,10,100
Lochnagar,11,100
Lochnagar,11,100
Lochnagar,12,100
Lochnagar,12,100
Lochnagar,13,100
Lochnagar,13,100
Lochnagar,14,100
Lochnagar,14,100
Lochnagar,15,100
Lochnagar,15,100
Lochnagar,16,100
Lochnagar,16,100
Lochnagar,17,100
Lochnagar,17,100
Lochnagar,18,100
Lochnagar,18,100
Grand Caricaie,41,100
Grand Caricaie,20,100
Grand Caricaie,20,100
Grand Caricaie,32,100
Grand Caricaie,32,100
Grand Caricaie,2,58.5365853658537
Grand Caricaie,2,39.0243902439024
Grand Caricaie,31,100
Grand Caricaie,31,100
Grand Caricaie,18,100
Grand Caricaie,18,100
Grand Caricaie,21,100
Grand Caricaie,21,100
Grand Caricaie,27,100
Grand Caricaie,27,100
Grand Caricaie,16,100
Grand Caricaie,16,100
Grand Caricaie,17,100
Grand Caricaie,17,100
Grand Caricaie,15,100
Grand Caricaie,15,100
Grand Caricaie,30,100
Grand Caricaie,30,100
Grand Caricaie,9,100
Grand Caricaie,9,100
Grand Caricaie,3,60.9756097560976
Grand Caricaie,3,100
Grand Caricaie,29,100
Grand Caricaie,29,100
Grand Caricaie,14,100
Grand Caricaie,14,100
Grand Caricaie,1,60.9756097560976
Grand Caricaie,1,60.9756097560976
Grand Caricaie,8,100
Grand Caricaie,8,100
Grand Caricaie,25,100
Grand Caricaie,25,100
Grand Caricaie,10,100
Grand Caricaie,10,100
Grand Caricaie,26,100
Grand Caricaie,26,100
East African Lakes,72,90.2777777777778
East African Lakes,71,90.2777777777778
East African Lakes,71,90.2777777777778
East African Lakes,24,90.2777777777778
East African Lakes,24,90.2777777777778
East African Lakes,38,90.2777777777778
East African Lakes,38,90.2777777777778
East African Lakes,25,90.2777777777778
East African Lakes,25,90.2777777777778
East African Lakes,67,90.2777777777778
East African Lakes,67,90.2777777777778
East African Lakes,12,90.2777777777778
East African Lakes,12,90.2777777777778
East African Lakes,1,36.1111111111111
East African Lakes,1,63.8888888888889
East African Lakes,3,63.8888888888889
East African Lakes,3,90.2777777777778
East African Lakes,7,90.2777777777778
East African Lakes,7,75
East African Lakes,36,90.2777777777778
East African Lakes,36,90.2777777777778
East African Lakes,57,90.2777777777778
East African Lakes,57,90.2777777777778
East African Lakes,68,90.2777777777778
East African Lakes,68,90.2777777777778
East African Lakes,65,90.2777777777778
East African Lakes,65,90.2777777777778
East African Lakes,26,90.2777777777778
East African Lakes,26,90.2777777777778
East African Lakes,42,90.2777777777778
East African Lakes,42,90.2777777777778
East African Lakes,17,90.2777777777778
East African Lakes,17,90.2777777777778
East African Lakes,63,90.2777777777778
East African Lakes,63,90.2777777777778
East African Lakes,61,90.2777777777778
East African Lakes,61,90.2777777777778
East African Lakes,31,90.2777777777778
East African Lakes,31,90.2777777777778
East African Lakes,11,90.2777777777778
East African Lakes,11,90.2777777777778
UK Streams,354,92.3728813559322
UK Streams,219,92.3728813559322
UK Streams,219,92.3728813559322
UK Streams,143,92.3728813559322
UK Streams,143,92.3728813559322
UK Streams,322,92.3728813559322
UK Streams,322,92.3728813559322
UK Streams,206,92.3728813559322
UK Streams,206,92.3728813559322
UK Streams,175,92.3728813559322
UK Streams,175,92.3728813559322
UK Streams,8,83.6158192090395
UK Streams,8,83.3333333333333
UK Streams,239,92.3728813559322
UK Streams,239,92.3728813559322
UK Streams,325,92.3728813559322
UK Streams,325,92.3728813559322
UK Streams,108,92.3728813559322
UK Streams,108,92.3728813559322
UK Streams,180,92.3728813559322
UK Streams,180,92.3728813559322
UK Streams,338,92.3728813559322
UK Streams,338,92.3728813559322
UK Streams,105,92.3728813559322
UK Streams,105,92.3728813559322
UK Streams,330,92.3728813559322
UK Streams,330,92.3728813559322
UK Streams,47,85.8757062146893
UK Streams,47,92.3728813559322
UK Streams,303,92.3728813559322
UK Streams,303,92.3728813559322
UK Streams,297,92.3728813559322
UK Streams,297,92.3728813559322
UK Streams,81,92.3728813559322
UK Streams,81,92.3728813559322
UK Streams,313,92.3728813559322
UK Streams,313,92.3728813559322
UK Streams,324,92.3728813559322
UK Streams,324,92.3728813559322
UK Streams,315,92.3728813559322
UK Streams,315,92.3728813559322
UK streams,1628,97.2358722358722
UK streams,191,97.2358722358722
UK streams,191,97.2358722358722
UK streams,578,97.2358722358722
UK streams,578,97.2358722358722
UK streams,116,97.2358722358722
UK streams,116,97.2358722358722
UK streams,815,97.2358722358722
UK streams,815,97.2358722358722
UK streams,1377,97.2358722358722
UK streams,1377,97.2358722358722
UK streams,34,97.2358722358722
UK streams,34,97.2358722358722
UK streams,1012,97.2358722358722
UK streams,1012,97.2358722358722
UK streams,1473,97.2358722358722
UK streams,1473,97.2358722358722
UK streams,533,97.2358722358722
UK streams,533,97.2358722358722
UK streams,893,97.2358722358722
UK streams,893,97.2358722358722
UK streams,885,97.2358722358722
UK streams,885,97.2358722358722
UK streams,486,97.2358722358722
UK streams,486,97.2358722358722
UK streams,737,97.2358722358722
UK streams,737,97.2358722358722
UK streams,1022,97.2358722358722
UK streams,1022,97.2358722358722
UK streams,1549,97.2358722358722
UK streams,1549,97.2358722358722
UK streams,736,97.2358722358722
UK streams,736,97.2358722358722
UK streams,470,97.2358722358722
UK streams,470,97.2358722358722
UK streams,397,97.2358722358722
UK streams,397,97.2358722358722
UK streams,351,97.2358722358722
UK streams,351,97.2358722358722
UK streams,1551,97.2358722358722
UK streams,1551,97.2358722358722
NewZealandStreams,332,98.1927710843374
NewZealandStreams,123,98.1927710843374
NewZealandStreams,123,93.9759036144578
NewZealandStreams,254,98.1927710843374
NewZealandStreams,254,98.1927710843374
NewZealandStreams,8,96.6867469879518
NewZealandStreams,8,92.4698795180723
NewZealandStreams,211,98.1927710843374
NewZealandStreams,211,98.1927710843374
NewZealandStreams,110,98.1927710843374
NewZealandStreams,110,98.1927710843374
NewZealandStreams,140,98.1927710843374
NewZealandStreams,140,98.1927710843374
NewZealandStreams,75,98.1927710843374
NewZealandStreams,75,98.1927710843374
NewZealandStreams,28,93.9759036144578
NewZealandStreams,28,93.9759036144578
NewZealandStreams,250,98.1927710843374
NewZealandStreams,250,98.1927710843374
NewZealandStreams,1,16.2650602409639
NewZealandStreams,1,76.2048192771084
NewZealandStreams,125,98.1927710843374
NewZealandStreams,125,98.1927710843374
NewZealandStreams,292,98.1927710843374
NewZealandStreams,292,98.1927710843374
NewZealandStreams,310,98.1927710843374
NewZealandStreams,310,98.1927710843374
NewZealandStreams,11,92.4698795180723
NewZealandStreams,11,92.4698795180723
NewZealandStreams,184,98.1927710843374
NewZealandStreams,184,98.1927710843374
NewZealandStreams,326,98.1927710843374
