Taxon,Trophic level,Mass (log10 kg),Prey mass (log10 kg),Predator Prey ratio (log10),Diet,Niche,Environment,Predator Diet Source,Predator Body Mass Source,Prey mass Source,Niche Source
Bathyergus_suillus,2.0,-0.2,-,-,Herbivore,Geophyte,Terrestrial,-,Kelt & van Vuren 2001,-,Bennett et al. 1995
Bettongia_gaimardi,2.0,0.2,-,-,Herbivore,Mychophagus,Terrestrial,-,Kelt & van Vuren 2001,-,"Taylor, 1992"
Bison_bison,2.0,2.8,-,-,Herbivore,Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,Popowics et al. 1997
Bison_bonasus,2.0,2.8,-,-,Herbivore,Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,"Bodmer, 1990"
Brachylagus_idahoensis,2.0,-0.5,-,-,Herbivore,Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,Katzner et al. 1997
Bradypus_torquatus,2.0,0.6,-,-,Herbivore,Browser,Terrestrial,-,Kelt & van Vuren 2001,-,"Chiarello, 1998"
Capra_hircus,2.0,1.7,-,-,Herbivore,Browser,Terrestrial,-,Kelt & van Vuren 2001,-,"Bodmer, 1990"
Capra_pyrenaica,2.0,1.8,-,-,Herbivore,Browser,Terrestrial,-,Kelt & van Vuren 2001,-,"Bodmer, 1990"
Catagonus_wagneri,2.0,1.5,-,-,Herbivore,Browser,Terrestrial,-,Kelt & van Vuren 2001,-,Taber et al. 1993
Cephalophus_callipygus,2.0,1.3,-,-,Herbivore,Frugivore,Terrestrial,-,Kelt & van Vuren 2001,-,"Bodmer, 1990"
Cephalophus_dorsalis,2.0,1.3,-,-,Herbivore,Frugivore,Terrestrial,-,Kelt & van Vuren 2001,-,"Bodmer, 1990"
Ceratotherium_simum,2.0,3.4,-,-,Herbivore,Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,Popowics et al. 1997
Cervus_elaphus,2.0,2.4,-,-,Herbivore,Browser-grazer,Terrestrial,-,Kelt & van Vuren 2001,-,Popowics et al. 1997
Cervus_nippon,2.0,1.5,-,-,Herbivore,Browser-Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,"Bodmer, 1990"
Coendou_prehensilis,2.0,0.6,-,-,Herbivore,Granivore,Terrestrial,-,Kelt & van Vuren 2001,-,Robinson et al. 1986
Dama_dama,2.0,1.9,-,-,Herbivore,Browser,Terrestrial,-,Kelt & van Vuren 2001,-,"Bodmer, 1990"
Dendrolagus_lumholtzi,2.0,0.8,-,-,Herbivore,Browser,Terrestrial,-,Kelt & van Vuren 2001,-,Meredith et al. 2008
Diceros_bicornis,2.0,3.0,-,-,Herbivore,Browser,Terrestrial,-,Kelt & van Vuren 2001,-,Popowics et al. 1997
Elephas_maximus,2.0,3.6,-,-,Herbivore,Browser,Terrestrial,-,Kelt & van Vuren 2001,-,Pradhan et al. 2008
Equus_burchelli,2.0,2.4,-,-,Herbivore,Grazer,Terrestrial,-,Kelt & van Vuren 2001,-,"Bodmer, 1990"
